name,description,address,city,state,zip,tcn
ANACAEXX,Torrance Logistics Company,1477 Jefferson,Anaheim,CA,92801,T-33-CA-4750
APXNCMOT,Motiva Enterprises LLC,2232 Ten-Ten.  Road,Apex,NC,27502,T-56-NC-2027
ARCLACHV,"Chevron USA, Inc.- Arcadia",Highway 80 East,Arcadia,LA,71001,T-72-LA-2351
ARCLAEXX,Sunoco Partners Marketing & Terminals LP,Highway 80 East,Arcadia,LA,71001,T-72-LA-2353
ARGILKM,Kinder Morgan Liquids Terminals LLC,8500 West 68th Street,Argo,IL,60501,T-36-IL-3305
ARGOILEQ,"Buckeye Terminals, LLC - Argo",8600 West 71st. Street,Bedford Park,IL,60499,T-36-IL-3315
ASHASH,"Growmark, Inc.",Rt 49 South,Ashkum,IL,60911,T-37-IL-3364
ASTNTXFH,"Flint Hills Resources, LP-Austin",9011 Johnny Morris Rd,Austin,TX,73301,T-74-TX-2706
ATHGAKIN,Kinder Morgan Southeast Terminals LLC,3460 Jefferson Road,Athens,GA,30601,T-58-GA-2506
ATHGAKM,Kinder Morgan Southeast Terminals LLC,3460 Jefferson Road,Athens,GA,30601,T-58-GA-2506
ATHGATRS,TransMontaigne - Athens,3450 Jefferson Road,Athens,GA,30601,T-58-GA-2508
AURCOMAG,"Magellan Pipeline Company, L.P.",15000 E. Smith Rd.,AURORA,CO,80010,T-84-CO-4100
BAINGATR,TransMontaigne - Bainbridge,1909 East Shotwell Street,Bainbridge,GA,31717,T-58-GA-2515
BAMGAMAG,Magellan Terminals Holdings LP,2400 Nabors Road,Birmingham,AL,35201,T-63-AL-2309
BANGAMOT,Motiva Enterprises LLC,1803 East Shotwell St.,Bainbridge,GA,31717,T-58-GA-2514
BEATXMOT,Motiva Enterprises LLC,9406 West Port Arthur Rd,Beaumont,TX,77701,T-76-TX-2783
BEATXSUN,Sunoco Partners Marketing & Terminals LP,15651 W. Port Arthur Rd.,Beaumont,TX,77701,T-76-TX-2798
BELSCBUC,"Buckeye Terminals, LLC - Belton",Hwy 20 North,Belton,SC,29627,T-57-SC-2051
BELTSCBU,"Buckeye Terminals, LLC - Belton",Hwy 20 North,Belton,SC,29627,T-57-SC-2051
BELTSCMA,MPLX Belton,14315 State Rt. 20,Belton,SC,29627,T-57-SC-2053
BLOCASFP,"SFPP, LP",2359 S. Riverside Avenue,Bloomington,CA,92316,T-33-CA-4757
BOSLATEP,ERPC Shreveport Area Truck Rack,4731 Viking Drive,Bossier City,LA,71111,T-72-LA-2394
